politica
"Policy1, Obliged, UNIMETA, Marcos_Ponts,Gerar, Guia_de_Requisicao, 30/12/2017 08:14 PM, 28/07/2019 12:11 PM"
"Policy40, Obliged, CCET, Usuario_Qualquer,Generate, Planilhas_de_Calculo, 11/10/2017 07:34 PM, 11/06/2019 10:48 AM"
"Policy41, Obliged, Administrative_Unit, PROTOCOLIZADOR1,Criar, Portal_do_Aluno, 28/09/2017 03:42 PM, 07/05/2019 05:59 AM"
"Policy42, Permitted, Unidade_Gerencial, Usuario_Terceirizado,Nova, BuildDispatch, 11/03/2017 03:31 PM, 24/06/2019 04:27 AM"
"Policy43, Permitted, UFAC, Secretario_de_Centros_Academicos,Nova, Biblioteca, 21/03/2017 05:50 PM, 12/08/2019 05:01 PM"
"Policy44, Permitted, FAMETA, PROTOCOLIZADOR3,Solicitar, Material, 22/08/2017 07:52 AM, 28/02/2019 07:09 AM"
"Policy45, Obliged, UNIASSELVI, Robb_Stark,Open, Process, 13/05/2017 02:37 AM, 05/11/2019 09:27 PM"
"Policy46, Permitted, Unidade_Executiva, Robb_Stark,Alterar, Guia_de_Requisicao, 23/10/2017 03:45 AM, 03/12/2019 04:44 PM"
"Policy47, Obliged, Unidade_Executiva, Estagiario3,Open, Central_de_Copias_Analise, 13/12/2017 06:45 PM, 13/08/2019 12:14 PM"
"Policy48, Permitted, Estácio, Daenerys_Targaryen,Gerar, Produtos, 02/01/2017 03:51 PM, 03/10/2019 08:25 PM"
"Policy49, Permitted, Unidade_Gerencial, PROTOCOLIZADOR1,Close, Notas, 07/09/2017 11:01 AM, 04/02/2019 11:27 PM"
"Policy50, Permitted, CPA, Usuario_Qualquer,Create, ProcessDispatch, 15/01/2017 06:12 AM, 10/10/2019 10:19 PM"
"Policy51, Permitted, UNIMETA, Cersei_Lannister,Nova, IPTU, 16/09/2017 08:05 PM, 17/06/2019 11:46 AM"
"Policy52, Permitted, CPA, Francisco_Carlos,Close, Aluno, 08/09/2017 03:41 PM, 18/12/2019 06:43 PM"
"Policy53, Permitted, CCET, Eddard_Stark,Solicitacao, BuildDispatch, 22/11/2017 09:53 AM, 28/11/2019 08:43 PM"
"Policy54, Obliged, Unidade_Executiva, Pro_Reitora_Academica,LancarMedia, Almoxarifado, 20/12/2017 03:26 AM, 02/07/2019 07:44 PM"
"Policy55, Permitted, CPA, Secretario_de_Curso_Academico,Close, Materiais, 06/02/2017 11:23 PM, 02/03/2019 05:22 PM"
"Policy56, Permitted, UNOPAR, Bilbo_Bolseiros,Cadastrar, Central_de_Copias_Analise, 31/08/2017 02:33 AM, 13/10/2019 09:49 AM"
"Policy57, Obliged, FAMETA, Jaime_Lannister,Requisitar, ProcessDispatch, 27/03/2017 06:33 AM, 18/09/2019 07:34 AM"
"Policy58, Forbidden, FAAO, Marcos_Ponts,Gerar, Aluno, 18/09/2017 08:08 AM, 08/06/2019 01:47 PM"
"Policy59, Permitted, CFET, Robb_Stark,Solicitar, Documentos, 30/08/2017 01:30 AM, 15/06/2019 03:41 PM"
"Policy60, Obliged, Estácio, Secretarios,Matricular, IPTU, 28/04/2017 09:10 AM, 03/05/2019 01:45 PM"
"Policy61, Forbidden, IFAC, Italo_Calvino,Analise, Central_de_Copias, 25/02/2017 11:25 AM, 23/05/2019 07:04 PM"
"Policy62, Permitted, Administrative_Unit, Ada_Lovelace,Efetivar, Guia_de_Requisicao, 09/06/2017 04:26 PM, 08/08/2019 02:39 AM"
"Policy63, Forbidden, Unidade_Administrativa, Francisco_Carlos,Solicitar, Materiais, 15/04/2017 12:14 AM, 30/05/2019 05:54 PM"
"Policy64, Obliged, Unidade_Administrativa, Cersei_Lannister,Cancelamento, Notas, 18/02/2017 07:35 PM, 10/09/2019 01:08 AM"
"Policy65, Forbidden, Administrative_Unit, Arwen_Undomiel,Nova, Planilhas_de_Calculo, 09/03/2017 03:27 PM, 20/10/2019 07:06 AM"
"Policy66, Permitted, Uninorte, Estagiario3,Requisitar, ProcessDispatch, 09/05/2017 11:23 PM, 11/01/2019 02:11 PM"
"Policy67, Forbidden, CFET, Oberyn_Martell,Solicitar, Convencao, 10/04/2017 12:10 AM, 20/09/2019 05:10 PM"
"Policy68, Forbidden, UNOPAR, Jaime_Lannister,Open, Process, 24/02/2017 03:35 PM, 02/02/2019 03:06 AM"
"Policy69, Permitted, FAAO, Robb_Stark,Record, Central_de_Copias_Analise, 25/07/2017 11:55 PM, 13/07/2019 02:58 PM"
"Policy70, Forbidden, CCSJA, Tyrion_Lannister,Cadastrar, Portal_do_Aluno, 24/04/2017 02:10 PM, 08/12/2019 08:02 AM"
"Policy71, Obliged, Uninorte, Raimundo_Nonato,Solicitacao, FGTS, 06/05/2017 04:59 AM, 24/03/2019 01:21 PM"
"Policy72, Forbidden, CPA, Estagiario3,Nova, Convencao, 17/03/2017 06:44 AM, 19/06/2019 11:46 AM"
"Policy73, Permitted, Administrative_Unit, Ada_Lovelace,Cadastrar, Almoxarifado, 22/10/2017 01:40 PM, 05/03/2019 11:36 PM"
"Policy74, Forbidden, Estácio, Eliana_Maria_de_Souza,Create, ProcNURCADesp, 06/05/2017 05:07 AM, 11/03/2019 07:56 PM"
"Policy75, Forbidden, Unidade_Administrativa, Estagiario3,Acess, FGTS, 01/05/2017 04:33 AM, 06/01/2019 06:09 PM"
"Policy76, Permitted, Unidade_Administrativa, Setor_Administrativo,Generate, Central_Processo, 13/05/2017 01:18 PM, 15/12/2019 12:06 PM"
"Policy77, Permitted, Unidade_Executiva, Carl_Sagan,Requisitar, Guia_de_Requisicao, 18/12/2017 01:18 PM, 21/01/2019 12:06 PM"
"Policy78, Permitted, FAMETA, Vanessa_Lima,Analise, IPTU, 31/07/2017 02:00 PM, 05/03/2019 08:54 AM"
"Policy79, Forbidden, IFAC, Vanessa_Lima,Inserir, Aluno, 19/11/2017 06:01 PM, 01/04/2019 03:56 AM"
"Policy80, Forbidden, FAMETA, Bilbo_Bolseiros,Analise, Guia_de_Requisicao, 24/08/2017 08:04 AM, 28/10/2019 01:43 AM"
"Policy81, Permitted, CFET, Secretario_de_Unidade_Administrativa,Acessar, Central_de_Copias_Analise, 26/05/2017 03:45 AM, 21/08/2019 03:27 PM"
"Policy82, Forbidden, UNIASSELVI, Eliana_Maria_de_Souza,Alterar, Produtos, 12/07/2017 03:18 PM, 30/07/2019 04:26 AM"
"Policy83, Permitted, CPA, Estagiario1,Requisitar, Notas, 22/11/2017 01:42 PM, 14/12/2019 03:15 PM"
"Policy84, Forbidden, IFAC, Secretario_de_Curso_Academico,Generate, BuildDispatch, 26/09/2017 12:12 AM, 26/12/2019 11:38 PM"
"Policy85, Forbidden, Administrative_Unit, PROTOCOLIZADOR3,Efetivar, Produtos, 03/11/2017 09:20 PM, 10/11/2019 10:14 PM"
"Policy86, Permitted, UNIMETA, Vanessa_Souza,Requisitar, FGTS, 05/11/2017 10:15 PM, 01/01/2019 03:11 PM"
"Policy87, Forbidden, FAMETA, Janaina_Souza,Abertura, Portal_do_Aluno, 24/09/2017 05:21 PM, 16/03/2019 03:38 AM"
"Policy88, Obliged, CFET, Grupo_IPTU,Acess, Central_de_Copias, 11/10/2017 11:44 AM, 27/04/2019 12:06 AM"
"Policy89, Permitted, Estácio, Raimundo_Nonato,SolicitacaoAbertura, MatriculaAluno, 21/05/2017 10:09 PM, 23/04/2019 04:38 AM"
"Policy90, Forbidden, Estácio, Jaime_Lannister,Abertura, Notas, 20/06/2017 09:11 AM, 28/09/2019 07:52 PM"
"Policy91, Permitted, CCET, Bilbo_Bolseiros,Analise, IPTU, 12/04/2017 08:04 AM, 14/09/2019 05:39 AM"
"Policy92, Obliged, FAAO, Jaime_Lannister,Solicitar, ProcNURCADesp, 03/12/2017 02:50 PM, 19/07/2019 10:11 PM"
"Policy93, Permitted, IFAC, Bilbo_Bolseiro,Create, Produtos, 09/10/2017 04:23 AM, 16/10/2019 11:19 PM"
"Policy94, Permitted, Unidade_Gerencial, Francisco_Carlos,Record, Almoxarifado, 21/02/2017 06:47 AM, 21/05/2019 05:31 AM"
"Policy95, Forbidden, Uninorte, Eliana_Maria_de_Souza,Generate, Portal_do_Aluno, 25/02/2017 05:20 PM, 07/05/2019 07:07 PM"
"Policy96, Obliged, Unidade_Gerencial, Tyrion Lanniester,Requisitar, Produtos, 23/02/2017 07:01 AM, 05/11/2019 06:16 PM"
"Policy97, Permitted, FAMETA, Pro_Reitora_Academica,Abertura, Process, 25/06/2017 08:19 PM, 10/02/2019 06:49 PM"
"Policy98, Permitted, CCET, Professor,Calcular, ProcessDispatch, 28/09/2017 04:10 PM, 04/11/2019 11:57 AM"
"Policy99, Forbidden, Unidade_Administrativa, Ana_Ester,Close, ProcNURCADesp, 12/11/2017 10:07 AM, 09/01/2019 08:02 PM"
"Policy100, Permitted, FAAO, Bilbo_Bolseiro,Calcular, Central_Processo, 28/11/2017 03:51 AM, 21/08/2019 11:17 PM"
"Policy101, Permitted, Estácio, Setor_Administrativo,VoltarLancamento, Biblioteca, 27/07/2017 04:47 PM, 10/05/2019 06:30 AM"
"Policy102, Obliged, Unidade_Executiva, PROTOCOLIZADOR3,Acess, Aluno, 11/06/2017 12:16 AM, 01/07/2019 08:15 PM"
"Policy103, Forbidden, CCET, Jorge_Jesus,Create, ProcNURCADesp, 25/07/2017 12:50 AM, 19/10/2019 10:00 PM"
"Policy104, Obliged, FAAO, Coordenador,Analise, Convencao, 24/07/2017 12:46 PM, 07/01/2019 03:16 AM"
"Policy105, Forbidden, CFET, Eddard_Stark,Abertura, MatriculaAluno, 30/03/2017 09:28 PM, 11/09/2019 06:03 PM"
"Policy106, Obliged, FAMETA, Raimundo_Nonato,Cadastrar, IPTU, 11/03/2017 11:33 PM, 16/04/2019 01:13 PM"
"Policy107, Obliged, FAAO, Bilbo_Bolseiro,Solicitacao, Guia_de_Requisicao, 30/05/2017 02:18 PM, 04/06/2019 12:37 AM"
"Policy108, Permitted, UFAC, Bilbo_Bolseiro,Cadastrar, BuildDispatch, 16/09/2017 03:28 PM, 21/04/2019 03:55 AM"
"Policy109, Forbidden, Comite_Etica_Em_Pesquisa, Secretario_de_Centros_Academicos,Criar, Guia_de_Requisicao, 13/05/2017 04:30 AM, 06/01/2019 03:58 PM"
"Policy110, Forbidden, Unidade_Gerencial, Secretarios,Acessar, Portal_do_Aluno, 13/04/2017 01:36 PM, 07/05/2019 06:22 PM"
"Policy111, Obliged, IFAC, Aline_Moreira,Calcular, IPTU, 26/08/2017 08:41 AM, 02/05/2019 02:28 AM"
"Policy112, Permitted, IFAC, Daenerys_Targaryen,Criar, Produtos, 05/12/2017 07:59 AM, 30/07/2019 03:04 AM"
"Policy113, Forbidden, Unidade_Administrativa, Jaime_Lannister,Nova, Portal_do_Aluno, 21/04/2017 10:27 AM, 05/05/2019 05:55 PM"
"Policy114, Obliged, UFAC, PROTOCOLIZADOR1,Solicitar, Almoxarifado, 10/01/2017 06:46 AM, 28/01/2019 10:48 PM"
"Policy115, Forbidden, IFAC, Secretarios,Calcular, Planilhas_de_Calculo, 05/02/2017 07:16 AM, 03/07/2019 07:47 PM"
"Policy116, Forbidden, UNIMETA, Francisco_Carlos,Nova, Portal_do_Aluno, 07/02/2017 09:26 AM, 01/02/2019 01:56 AM"
"Policy117, Permitted, UFAC, Tyrion_Lannister,Cadastrar, FGTS, 31/07/2017 05:20 PM, 15/10/2019 10:35 AM"
"Policy118, Forbidden, Unidade_Executiva, Bilbo_Bolseiro,Solicitacao, Planilhas_de_Calculo, 09/03/2017 10:37 AM, 30/08/2019 04:11 AM"
"Policy119, Permitted, IFAC, Elrond,LancarMedia, MatriculaAluno, 27/04/2017 10:08 AM, 24/05/2019 07:02 PM"
"Policy120, Obliged, Unidade_Financeira, Janaina_Souza,Abertura, Guia_de_Requisicao, 10/07/2017 04:49 PM, 25/10/2019 07:09 PM"
"Policy121, Obliged, Administrative_Unit, Usuario_Qualquer,Gerar, Produtos, 11/02/2017 12:01 AM, 03/06/2019 10:46 PM"
"Policy122, Forbidden, FAMETA, Secretarios,Solicitacao, Central_de_Copias_Analise, 02/06/2017 08:19 AM, 01/10/2019 06:50 AM"
"Policy123, Obliged, Comite_Etica_Em_Pesquisa, Usuario_Terceirizado,Alterar, Convencao, 22/07/2017 09:17 AM, 25/06/2019 09:15 AM"
"Policy124, Forbidden, UNIMETA, Ana_Ester,Generate, Material, 11/12/2017 08:16 PM, 06/10/2019 10:54 AM"
"Policy125, Permitted, CCET, Francisco_Mendes,Calcular, IPTU, 04/09/2017 06:20 PM, 28/06/2019 11:29 PM"
"Policy126, Obliged, Administrative_Unit, Janaina_Souza,Efetivar, BuildDispatch, 11/08/2017 02:41 PM, 12/02/2019 04:37 AM"
"Policy127, Permitted, CCSJA, Estagiario3,Abertura, Materiais, 12/09/2017 11:44 PM, 23/06/2019 05:46 AM"
"Policy128, Permitted, Unidade_Financeira, Janaina_Souza,Efetivar, Central_Processo, 02/10/2017 11:07 PM, 07/07/2019 02:26 PM"
"Policy129, Obliged, Unidade_Gerencial, Raimundo_Nonato,LancarMedia, FGTS, 22/08/2017 02:29 AM, 16/06/2019 07:56 AM"
"Policy130, Forbidden, FAMETA, Usuario_Qualquer,Acess, Aluno, 27/06/2017 08:10 AM, 04/02/2019 07:47 AM"
"Policy131, Obliged, CFET, Vanessa_Souza,Solicitar, Central_de_Copias, 22/07/2017 01:17 PM, 18/02/2019 06:55 AM"
"Policy132, Permitted, Administrative_Unit, Ana_Ester,Generate, Aluno, 08/12/2017 12:57 PM, 12/05/2019 07:07 PM"
"Policy133, Forbidden, Unidade_Financeira, PROTOCOLIZADOR3,SolicitacaoAbertura, Produtos, 08/12/2017 12:13 PM, 27/08/2019 02:43 PM"
"Policy134, Permitted, Unidade_Executiva, Jaime_Lannister,Create, ProcNURCADesp, 24/01/2017 07:52 PM, 10/03/2019 07:54 AM"
"Policy135, Forbidden, CPA, Jaime_Lannister,Acess, Central_de_Copias_Analise, 06/03/2017 05:56 PM, 05/09/2019 04:39 PM"
"Policy136, Obliged, Estácio, Grupo_Almoxarifado,Solicitacao, Almoxarifado, 19/09/2017 08:05 PM, 13/07/2019 06:13 PM"
"Policy137, Permitted, UNIASSELVI, Estagiario3,Close, Guia_de_Requisicao, 12/02/2017 09:41 PM, 13/03/2019 11:41 AM"
"Policy138, Obliged, Comite_Etica_Em_Pesquisa, PROTOCOLIZADOR1,Cadastrar, ProcessDispatch, 28/03/2017 05:42 AM, 08/08/2019 01:00 PM"
"Policy139, Obliged, Comite_Etica_Em_Pesquisa, Tyrion_Lannister,Open, ProcessDispatch, 17/03/2017 03:49 AM, 26/09/2019 10:17 AM"
"Policy140, Forbidden, Administrative_Unit, Professor,Cancelamento, Aluno, 18/01/2017 01:24 PM, 03/10/2019 03:41 AM"
"Policy141, Permitted, Unidade_Financeira, Pro_Reitora_Academica,Requisitar, IPTU, 12/12/2017 08:47 PM, 18/02/2019 06:31 PM"
"Policy142, Forbidden, Uninorte, Arwen_Undomiel,Create, Materiais, 01/04/2017 10:52 AM, 17/07/2019 07:32 AM"
"Policy143, Obliged, CCSJA, Jorge_Jesus,Create, Aluno, 23/07/2017 03:52 AM, 22/02/2019 07:05 AM"
"Policy144, Forbidden, Estácio, Ana_Ester,Acessar, ProcNURCADesp, 21/05/2017 04:20 PM, 01/08/2019 02:02 PM"
"Policy145, Obliged, IFAC, Secretario_de_Curso_Academico,SolicitacaoAbertura, BuildDispatch, 22/08/2017 05:36 PM, 03/02/2019 11:56 AM"
"Policy146, Forbidden, CPA, Elrond,SolicitacaoAbertura, Planilhas_de_Calculo, 19/08/2017 08:06 AM, 10/02/2019 04:40 AM"
"Policy147, Obliged, UNIASSELVI, Secretario_de_Curso_Academico,Criar, BuildDispatch, 15/09/2017 06:35 AM, 27/09/2019 10:46 AM"
"Policy148, Permitted, Uninorte, PROTOCOLIZADOR1,Gerar, Central_Processo, 03/03/2017 10:04 PM, 20/12/2019 04:29 AM"
"Policy149, Obliged, Estácio, Secretario_de_Unidade_Administrativa,SolicitacaoAbertura, ProcessDispatch, 30/11/2017 01:41 PM, 08/06/2019 10:36 PM"
"Policy150, Obliged, CCSJA, Grupo_Almoxarifado,Efetivar, Aluno, 21/09/2017 03:03 AM, 30/12/2019 04:38 AM"
"Policy151, Obliged, Unidade_Executiva, Professor,Inserir, Produtos, 28/05/2017 11:08 PM, 26/09/2019 07:15 AM"
"Policy152, Forbidden, FAMETA, Vanessa_Souza,Close, Convencao, 17/04/2017 02:51 PM, 09/07/2019 08:23 AM"
"Policy153, Obliged, CCET, Raimundo_Nonato,VoltarLancamento, ProcNURCADesp, 10/05/2017 07:15 PM, 08/08/2019 10:36 AM"
"Policy154, Forbidden, UNIASSELVI, PROTOCOLIZADOR3,Record, Biblioteca, 13/05/2017 06:09 AM, 08/08/2019 09:57 AM"
"Policy155, Forbidden, CPA, Janaina_Souza,Criar, Central_Processo, 13/04/2017 12:35 AM, 12/11/2019 05:41 PM"
"Policy156, Forbidden, CPA, Secretario_de_Centros_Academicos,Inserir, Material, 03/04/2017 07:06 PM, 24/06/2019 04:24 PM"
"Policy157, Obliged, Uninorte, Raimundo_Nonato,Efetivar, BuildDispatch, 06/12/2017 11:49 AM, 09/08/2019 07:18 PM"
"Policy158, Permitted, UFAC, Grupo_IPTU,Cadastrar, Convencao, 06/01/2017 03:21 AM, 24/01/2019 09:21 AM"
"Policy159, Permitted, Administrative_Unit, Professor,Inserir, Aluno, 14/03/2017 07:16 AM, 07/07/2019 09:08 AM"
"Policy160, Forbidden, IFAC, Secretario_e_Unidade_Administrativa,Requisitar, MatriculaAluno, 20/12/2017 02:55 AM, 26/08/2019 02:12 AM"
"Policy161, Forbidden, UNIMETA, Tyrion Lanniester,Efetivar, Documentos, 16/01/2017 08:07 AM, 31/10/2019 05:13 AM"
"Policy162, Obliged, Administrative_Unit, Secretario_e_Unidade_Administrativa,Nova, MatriculaAluno, 18/07/2017 12:53 PM, 22/02/2019 02:08 PM"
"Policy163, Forbidden, UNOPAR, Tyrion_Lannister,Inserir, Guia_de_Requisicao, 16/11/2017 12:01 PM, 13/08/2019 02:10 AM"
"Policy164, Permitted, UNOPAR, Secretario_de_Unidade_Administrativa,Inserir, MatriculaAluno, 30/08/2017 06:07 AM, 27/01/2019 04:34 AM"
"Policy165, Permitted, CPA, Francisco_Mendes,Criar, Aluno, 18/11/2017 02:22 PM, 20/05/2019 01:55 PM"
"Policy166, Obliged, Comite_Etica_Em_Pesquisa, Vanessa_Souza,Acessar, Planilhas_de_Calculo, 07/03/2017 03:18 AM, 22/07/2019 12:23 PM"
"Policy167, Permitted, CFET, Robb_Stark,Open, ProcNURCADesp, 26/12/2017 06:31 PM, 30/12/2019 05:39 PM"
"Policy168, Forbidden, CPA, Secretario_de_Curso_Academico,Solicitacao, Central_de_Copias_Analise, 13/08/2017 04:21 AM, 18/09/2019 03:53 PM"
"Policy169, Permitted, Estácio, Marcos_Ponts,Requisitar, Material, 01/08/2017 06:56 AM, 04/04/2019 09:31 AM"
"Policy170, Forbidden, CCET, Vanessa_Souza,Generate, Documentos, 12/09/2017 06:38 AM, 11/04/2019 09:41 PM"
"Policy171, Obliged, UFAC, Marcos_Ponts,Gerar, ProcessDispatch, 20/07/2017 12:34 AM, 10/12/2019 05:16 AM"
"Policy172, Obliged, CCSJA, Ada_Lovelace,Generate, Materiais, 15/12/2017 11:42 AM, 16/03/2019 08:46 PM"
"Policy173, Forbidden, CPA, Estagiario1,Create, Central_de_Copias, 17/11/2017 07:09 PM, 13/03/2019 06:37 PM"
"Policy174, Obliged, Unidade_Administrativa, Bilbo_Bolseiro,Analise, Process, 30/01/2017 03:58 PM, 23/02/2019 06:02 AM"
"Policy175, Obliged, FAMETA, Outro_Usuario,Abertura, Almoxarifado, 12/08/2017 08:33 AM, 27/06/2019 02:51 AM"
"Policy176, Obliged, Unidade_Administrativa, Cersei_Lannister,SolicitacaoAbertura, Biblioteca, 30/12/2017 12:52 AM, 29/09/2019 02:08 PM"
"Policy177, Permitted, UNOPAR, Arwen_Undomiel,Create, Central_Processo, 22/06/2017 08:32 AM, 06/04/2019 08:59 AM"
"Policy178, Forbidden, CPA, Jorge_Jesus,Alterar, ProcessDispatch, 26/04/2017 01:46 AM, 04/11/2019 12:55 AM"
"Policy179, Permitted, Unidade_Financeira, Francisco_Carlos,Acessar, ProcNURCADesp, 21/06/2017 07:22 PM, 14/11/2019 08:22 PM"
"Policy180, Obliged, Unidade_Administrativa, Ana_Ester,Analise, BuildDispatch, 19/03/2017 10:32 PM, 30/09/2019 09:15 AM"
"Policy181, Obliged, IFAC, Outro_Usuario,Requisitar, Aluno, 16/05/2017 01:17 PM, 13/04/2019 01:37 AM"
"Policy182, Permitted, CCSJA, Cersei_Lannister,Solicitacao, MatriculaAluno, 24/12/2017 11:28 PM, 15/10/2019 10:00 AM"
"Policy183, Permitted, UFAC, Francisco_Carlos,Record, Guia_de_Requisicao, 23/07/2017 08:06 AM, 04/04/2019 08:29 PM"
"Policy184, Obliged, CCSJA, Marcos_Ponts,LancarMedia, Process, 21/06/2017 09:55 PM, 17/04/2019 03:46 PM"
"Policy185, Forbidden, Administrative_Unit, Francisco_Mendes,Efetivar, Convencao, 01/04/2017 03:28 PM, 24/03/2019 03:31 AM"
"Policy186, Permitted, Unidade_Gerencial, Arwen_Undomiel,SolicitacaoAbertura, ProcessDispatch, 06/05/2017 02:12 AM, 08/12/2019 11:27 PM"
"Policy187, Forbidden, CCET, Bilbo_Bolseiros,Calcular, BuildDispatch, 22/10/2017 03:03 PM, 11/06/2019 04:50 PM"
"Policy188, Permitted, Administrative_Unit, Francisco_Mendes,Criar, Material, 27/10/2017 04:28 PM, 22/01/2019 05:54 PM"
"Policy189, Obliged, Unidade_Administrativa, Jaime_Lannister,Open, Convencao, 25/05/2017 01:46 AM, 11/03/2019 11:41 AM"
"Policy190, Forbidden, CCSJA, Ada_Lovelace,Matricular, Notas, 16/03/2017 11:38 AM, 22/02/2019 02:10 AM"
"Policy191, Forbidden, Uninorte, Robb_Stark,Efetivar, Produtos, 16/05/2017 12:03 PM, 31/10/2019 10:19 AM"
